scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,N,m,small_cluster.x,small_cluster.y,Empirical,Empirical_noadj_model_based,Empirical_noadj_sandwich,Empirical_adj_model_based_K_2,Empirical_adj_sandwich_K_2,Empirical_adj_model_based_K_ncat,Empirical_adj_sandwich_K_ncat,mean_est_rho11,mean_est_rho12,mean_est_rho22,mean_est_beta_treat,mean_var_beta_treat,mean_sandwich_var_beta_treat,n_success,n_tried,n_bad,fail_rate,count_iter
29,50,10,0.4054651081081644,0.05,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,bell,-2.0675487904754006,2.4730135119479013,500,250,yes,yes,0.2684,0.4285,0.4228,0.2759,0.2684,0.226,0.2161,0.01157377471657393,-0.00346309862496098,0.0088674224638884,-0.4019144327563564,0.0703166688558852,0.06961926396626102,10000,10222,222,0.02171786343181373,17.824549373040753
30,50,10,0.6931471805599453,0.05,0.02557796204953965,0.01556801013523883,-0.01012442719958941,0.02557796204953965,0.02536813603390828,bell,-1.9541511847934945,2.647298388661804,500,250,yes,yes,0.5659,0.7273,0.7298,0.57,0.5659,0.5037,0.499,0.01094151464702611,-0.00288158043483434,0.00891171204405479,-0.6943570831003947,0.07644948222305452,0.07554265298198136,10000,10516,516,0.04906808672499049,35.21461926998952
31,100,10,0.4054651081081644,0.01,0.00523000852019537,0.00295648778159823,-0.00205205060624172,0.00523000852019537,0.00491718431296257,bell,-2.021868429271497,2.427333136978035,1000,500,yes,yes,0.5762,0.7377,0.7351,0.5801,0.5762,0.5173,0.5094,0.00140774247026819,-1.4206924674453787e-4,0.00115526858932362,-0.4063107353605277,0.02360031786773357,0.02415324553303295,10000,10093,93,0.0092143069454077,6.6505152596115735
32,100,10,0.4054651081081644,0.02,0.00994110398434295,0.00575645947818196,-0.00386386316559101,0.00994110398434295,0.00978046828205837,bell,-2.0330240633532446,2.4384893202160653,1000,500,yes,yes,0.5169,0.6828,0.6831,0.5222,0.5169,0.4568,0.453,0.0045094176755224,-0.00133322571651575,0.00321757962358264,-0.406447198143123,0.02938908156368401,0.02930929175392095,10000,10088,88,0.00872323552735923,7.236933452345532
33,100,10,0.4054651081081644,0.05,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,bell,-2.0675487904754006,2.4730135119479013,1000,500,yes,yes,0.3917,0.5509,0.5585,0.3899,0.3917,0.3323,0.3317,0.01339499268006852,-0.00446074443074409,0.01022819469935974,-0.4030902165663049,0.04832387528391556,0.04677871608307062,10000,10163,163,0.01603857128800551,16.63152709359606
34,50,20,0.4054651081081644,0.01,0.00523000852019537,0.00295648778159823,-0.00205205060624172,0.00523000852019537,0.00491718431296257,bell,-2.021868429271497,2.427333136978035,1000,500,yes,yes,0.6343,0.7071,0.7095,0.6322,0.6343,0.611,0.6117,0.00227571581790634,-6.921727010428707e-4,0.00115552268525829,-0.40830192516522873,0.02598234902444423,0.02605745023156631,10000,10007,7,6.995103427600679e-4,3.929449385430199
35,50,20,0.6931471805599453,0.01,0.00516193896906859,0.00302430660231293,-0.00200522175118085,0.00516193896906859,0.0049516011079108,bell,-1.9090897753161955,2.602236955952833,1000,500,yes,yes,0.9574,0.9695,0.9726,0.9545,0.9574,0.9489,0.9531,0.00223051086019647,-6.063916865943776e-4,0.00132322734654369,-0.6959682423634648,0.02735136826054509,0.02782238762267074,10000,10038,38,0.00378561466427575,5.36425226661353
36,50,20,0.4054651081081644,0.02,0.00994110398434295,0.00575645947818196,-0.00386386316559101,0.00994110398434295,0.00978046828205837,bell,-2.0330240633532446,2.4384893202160653,1000,500,yes,yes,0.5752,0.655,0.6586,0.5743,0.5752,0.5495,0.55,0.00643468630739377,-0.0023280552448174,0.0041356587513944,-0.40751114229189034,0.03047387732899524,0.03025988892691426,10000,10005,5,4.997501249375312e-4,3.8571714142928535
37,50,20,0.6931471805599453,0.02,0.01002522917796857,0.00610217972861747,-0.00390786402792745,0.01002522917796857,0.01003712062809937,bell,-1.920092470247648,2.6132396587533884,1000,500,yes,yes,0.9316,0.9488,0.9549,0.923,0.9316,0.914,0.9236,0.00585173192716566,-0.00192716422271868,0.00384150395795822,-0.6954498827963879,0.03230858230432108,0.03189425847565393,10000,10043,43,0.00428158916658369,5.807826346709151
38,50,20,0.4054651081081644,0.05,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,bell,-2.0675487904754006,2.4730135119479013,1000,500,yes,yes,0.4554,0.5251,0.5356,0.4445,0.4554,0.4208,0.4329,0.01848446773684853,-0.00692482452328235,0.01209313875967639,-0.4029435726612957,0.04492216594385022,0.04327150874687589,10000,10026,26,0.0025932575304209,6.164588528678304
39,50,20,0.6931471805599453,0.05,0.02557796204953965,0.01556801013523883,-0.01012442719958941,0.02557796204953965,0.02536813603390828,bell,-1.9541511847934945,2.647298388661804,1000,500,yes,yes,0.8279,0.8597,0.874,0.8096,0.8279,0.7911,0.8117,0.01736447835709685,-0.00629175069057509,0.01166165976840327,-0.6876865299141591,0.04837516909426884,0.04531976643248051,10000,10050,50,0.00497512437810945,8.208457711442787
40,100,20,0.4054651081081644,0.01,0.00523000852019537,0.00295648778159823,-0.00205205060624172,0.00523000852019537,0.00491718431296257,bell,-2.021868429271497,2.427333136978035,2000,1000,yes,yes,0.8528,0.8915,0.8942,0.8489,0.8528,0.8358,0.8386,0.00332700920903422,-0.00121948524943732,0.00218203546898209,-0.4080321491685512,0.01454453882383929,0.01449311124482498,10000,10000,0,0,3.2173
41,100,20,0.4054651081081644,0.02,0.00994110398434295,0.00575645947818196,-0.00386386316559101,0.00994110398434295,0.00978046828205837,bell,-2.0330240633532446,2.4384893202160653,2000,1000,yes,yes,0.78,0.8277,0.8329,0.7727,0.78,0.7578,0.7629,0.00760856497677907,-0.00290602600372945,0.00491877892625459,-0.4049359415581811,0.0186188048917346,0.01809366530934174,10000,10002,2,1.999600079984003e-4,3.620475904819036
42,100,20,0.4054651081081644,0.05,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,bell,-2.0675487904754006,2.4730135119479013,2000,1000,yes,yes,0.6066,0.6663,0.6846,0.5875,0.6066,0.565,0.5821,0.01895654318620378,-0.00705145333320095,0.01273082757182085,-0.4019267343256599,0.03182262582824939,0.0299598657229783,10000,10013,13,0.0012983121941476,5.244981524018775
43,50,50,0.4054651081081644,0.01,0.00523000852019537,0.00295648778159823,-0.00205205060624172,0.00523000852019537,0.00491718431296257,bell,-2.021868429271497,2.427333136978035,2500,1250,no,no,0.9535,0.9525,0.9535,0.9444,0.9457,0.9426,0.9437,0.00384974665857553,-0.00141367122934249,0.00229343070788967,-0.4061508548626677,0.01178391694030136,0.01171583294749073,10000,10000,0,0,2.6321
44,50,50,0.4054651081081644,0.02,0.00994110398434295,0.00575645947818196,-0.00386386316559101,0.00994110398434295,0.00978046828205837,bell,-2.0330240633532446,2.4384893202160653,2500,1250,no,no,0.9151,0.9126,0.9151,0.899,0.9014,0.8953,0.8968,0.00843824425888806,-0.00316422473186551,0.00516511538005445,-0.40485914127706807,0.01414002577878563,0.01390399250950887,10000,10000,0,0,2.7969
45,50,50,0.4054651081081644,0.05,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,bell,-2.0675487904754006,2.4730135119479013,2500,1250,no,no,0.7914,0.7868,0.7914,0.764,0.7712,0.7569,0.7647,0.02230532192162552,-0.00873208065133749,0.01419002536627074,-0.401358063201953,0.02152727841699304,0.02083342108951673,10000,10000,0,0,3.1797
46,50,100,0.4054651081081644,0.01,0.00523000852019537,0.00295648778159823,-0.00205205060624172,0.00523000852019537,0.00491718431296257,bell,-2.021868429271497,2.427333136978035,5000,2500,no,no,0.997,0.997,0.997,0.9969,0.997,0.9969,0.997,0.00462750150802758,-0.00185084800818121,0.00271180496119716,-0.4042932718257374,0.0062095100771483,0.00615568220812854,10000,10000,0,0,2.3415
47,50,100,0.4054651081081644,0.02,0.00994110398434295,0.00575645947818196,-0.00386386316559101,0.00994110398434295,0.00978046828205837,bell,-2.0330240633532446,2.4384893202160653,5000,2500,no,no,0.991,0.991,0.991,0.9905,0.9907,0.9902,0.9903,0.00909340324969779,-0.00346679221447797,0.0055350275423716,-0.40350523492576074,0.00755624194677685,0.00743773612011159,10000,10000,0,0,2.5118
