scena,mean_est_rho11,mean_est_rho12,mean_est_rho22,mean_est_beta_treat,mean_var_beta_treat,mean_sandwich_var_beta_treat,n_success,n_tried,n_bad,fail_rate,count_iter,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,mean_rank_icc,N,m,small_cluster,WH_DE_latent_icc,WH_DE_rank_icc,WH_DE_rho11_icc,WH,GEE_bin1,GEE_bin2,GEE_exch,GEE_indep,Empirical,Empirical_noadj_model_based,Empirical_noadj_sandwich,Empirical_adj_model_based_K_2,Empirical_adj_sandwich_K_2,Empirical_adj_model_based_K_ncat,Empirical_adj_sandwich_K_ncat,marginal_lor_by_bridge,theta_R_bin,theta_R_bin2
11,0.00256390392032428,3.0893697589747963e-4,-8.651923478288962e-4,-0.6933274366288652,0.01623255340049339,0.01625799042840342,10000,10000,0,0,3.0196,50,20,0.6931471805599453,0.01,0.00499208974361935,2.2090683089850488e-4,-6.141969562276627e-5,0.00499208974361935,0.00499746398308053,U-shape,0.1388587612187981,0.5542884200469607,0.03692161024052715,1000,500,yes,0.996546569237998,0.9243271379117156,0.999155695469637,0.9999020135869774,0.9976668442565256,0.99766314833476,0.9987415110283796,0.9998699292935228,0.9884,0.9918,0.9923,0.9878,0.9884,0.9866,0.987,0.6896727367230195,0.6896727367230129,0.6896727367230066
12,0.00722977669054769,2.085383085024967e-4,-7.269579798817382e-4,-0.40472189895501104,0.01936356606510988,0.01939589110536732,10000,10000,0,0,3.0481,50,20,0.4054651081081644,0.02,0.00996374812890549,3.9945942042116496e-4,-1.229363695538488e-4,0.00996374812890549,0.00996260330946638,U-shape,-0.00201654034472483,0.4074815455394853,0.02201825248151671,1000,500,yes,0.6529855201531567,0.6318420322026755,0.774729772938735,0.9112021951770304,0.7306632957581446,0.7306793255829537,0.7579425069180377,0.9092329059570976,0.7544,0.8115,0.8122,0.7544,0.7544,0.7363,0.7357,0.40138997846894753,0.401389978468931,0.40138997846891994
13,0.00706945964189748,1.372132595305936e-4,-6.673269746680352e-4,-0.6883523888154426,0.01962224908245786,0.01964451286026685,10000,10000,0,0,3.064,50,20,0.6931471805599453,0.02,0.01000141776203714,4.0469891169355246e-4,-7.965573052915489e-5,0.01000141776203714,0.01004392326424172,U-shape,0.13786350697833163,0.5552836732713435,0.04208197646537809,1000,500,yes,0.9804497184620844,0.8988707037108868,0.996292328879033,0.9998902172437888,0.9917016071252892,0.991632523543739,0.99444160180739,0.999855194809158,0.9705,0.9802,0.9809,0.9697,0.9705,0.9667,0.9678,0.6861807004279831,0.6861807004279549,0.6861807004279358
14,0.02145976295276769,4.467697211794584e-5,1.2252066935659988e-5,-0.39661342515331033,0.03000306028296148,0.03006486649347875,10000,10000,0,0,3.212,50,20,0.4054651081081644,0.05,0.02511275096637279,9.995249076918955e-4,-2.5967119393736e-4,0.02511275096637279,0.02515558256123299,U-shape,-0.00516061793847246,0.41062565613550583,0.03790449679799111,1000,500,yes,0.41893050008177973,0.4875739443834099,0.5882696898969304,0.9027130555010154,0.5442228432088252,0.5438367813374958,0.562145314527063,0.9007206791777128,0.58,0.6572,0.6579,0.5805,0.58,0.5579,0.5574,0.3951985022726012,0.3951985022726045,0.3951985022725998
15,0.02128664748428831,1.891489721199447e-5,-2.8232320996069847e-5,-0.681639645367005,0.03037992884317542,0.03033055292480925,10000,10000,0,0,3.2336,50,20,0.6931471805599453,0.05,0.02546531292284136,0.00109880122741345,-3.32303476228942e-4,0.02546531292284136,0.02543717916546447,U-shape,0.13478203680535236,0.5583651511064808,0.05739049992218006,1000,500,yes,0.8510155345197232,0.8145299710042724,0.9605950430675791,0.9998457984410124,0.9373774095942654,0.9375092959879324,0.9464101746037108,0.9998003623735896,0.9099,0.9347,0.936,0.9078,0.9099,0.8983,0.9006,0.6755963019601953,0.6755963019602006,0.6755963019601912
16,0.00348416528610724,4.210642592271379e-5,-2.551561944583606e-4,-0.4044500018380859,0.00946398738144887,0.00948208760845246,10000,10000,0,0,2.9523,100,20,0.4054651081081644,0.01,0.0048815363639511,1.7552948250895657e-4,-3.332691810448015e-5,0.0048815363639511,0.00490668175856702,U-shape,-0.00100062420303745,0.4064656181389724,0.01639564298304893,2000,1000,yes,0.915698704131499,0.8279883256470628,0.971600805916335,0.9969711213293808,0.9559747234757672,0.9556878579023312,0.966005943695618,0.9967829444371312,0.9392,0.9548,0.9548,0.9386,0.9392,0.9332,0.9339,0.40343268875270105,0.403432688752697,0.4034326887526932
17,0.00825264716797419,1.1418646011959329e-4,-1.8684473926502913e-4,-0.4003898240951787,0.01293952500994872,0.01296843598553778,10000,10000,0,0,3.0269,100,20,0.4054651081081644,0.02,0.00996374812890549,3.9945942042116496e-4,-1.229363695538488e-4,0.00996374812890549,0.00996260330946638,U-shape,-0.00201654034472483,0.4074815455394853,0.02201825248151671,2000,1000,yes,0.7742437228275768,0.7473839708286966,0.913528932578272,0.9967439663290322,0.8833325765117023,0.8833502114269104,0.8979814944188307,0.9965465315423672,0.8696,0.8997,0.9008,0.8678,0.8696,0.8582,0.8588,0.40138997846894753,0.401389978468931,0.40138997846891994
18,0.02215564022719223,-8.232461628695312e-5,4.482233441638927e-4,-0.39944798830434425,0.02312733249194639,0.02316749134276366,10000,10000,0,0,3.2576,100,20,0.4054651081081644,0.05,0.02511275096637279,9.995249076918955e-4,-2.5967119393736e-4,0.02511275096637279,0.02515558256123299,U-shape,-0.00516061793847246,0.41062565613550583,0.03790449679799111,2000,1000,yes,0.4722219301638677,0.5616241541392208,0.6948145175285015,0.9959588967154368,0.6490762368352344,0.6485483256454551,0.6613832031987295,0.9957314353151926,0.6882,0.7458,0.7475,0.6884,0.6882,0.6706,0.6718,0.3951985022726012,0.3951985022726045,0.3951985022725998
19,0.00415634213581065,6.844031713616255e-5,-2.2123220939963245e-4,-0.40457909906353184,0.00710966279486757,0.00710920460316717,10000,10000,0,0,2.4117,50,50,0.4054651081081644,0.01,0.0048815363639511,1.7552948250895657e-4,-3.332691810448015e-5,0.0048815363639511,0.00490668175856702,U-shape,-0.00100062420303745,0.4064656181389724,0.01639564298304893,2500,1250,no,0.9906453515841998,0.974932698636382,0.9971753086355132,0.999517380292163,0.9941976838535496,0.994160815656791,0.9965343858141348,0.9994768239162608,0.9932,0.9932,0.9932,0.9916,0.9917,0.9911,0.9913,0.40343268875270105,0.403432688752697,0.4034326887526932
20,0.00903821054299834,-7.112696732183117e-6,-8.217828016132355e-6,-0.40221135532324,0.00861104046610775,0.00860874173477319,10000,10000,0,0,2.4605,50,50,0.4054651081081644,0.02,0.00996374812890549,3.9945942042116496e-4,-1.229363695538488e-4,0.00996374812890549,0.00996260330946638,U-shape,-0.00201654034472483,0.4074815455394853,0.02201825248151671,2500,1250,no,0.9608825521741732,0.952682354414252,0.9901497347853572,0.9994695018162634,0.9826193189930168,0.9826226162893336,0.9876266259266876,0.9994259821056166,0.9764,0.9763,0.9764,0.9715,0.9716,0.9705,0.9709,0.40138997846894753,0.401389978468931,0.40138997846891994
