scena,number_clusters,cluster_sizes,beta_X_list,latent_ICC,ordinal_dist_type,gamma0,gamma1,N,m,rho11,rho22,rho12,bin_rho0,bin_rho01,pi_0,pi_1,pi_2,pi_0_C,pi_1_C,pi_2_C,pi_0_T,pi_1_T,pi_2_T,mean.pi_0,mean.pi_1,mean.pi_2,mean.pi_0_C,mean.pi_1_C,mean.pi_2_C,mean.pi_0_T,mean.pi_1_T,mean.pi_2_T
11,5000,100,0.4054651081081644,0.05,rare,1.6370556994825434,2.4730142342229033,500000,250000,0.02487256836769159,0.00473798723333289,-0.00916287818264555,0.02487256836769159,0.02453248263003491,0.8000000821606025,0.09999999281892392,0.09999992502045496,0.8314031597984625,0.08621347189624504,0.08238336830527382,0.7685970045227425,0.1137865137416028,0.11761648173563612,0.80007716,0.10000886,0.09991398,0.8315752,0.08623324,0.08219156,0.7685791200000001,0.11378448,0.1176364
12,5000,100,0.6931471805599453,0.05,rare,1.803972065020439,2.6472989537696536,500000,250000,0.02527241617407646,0.00481486153952798,-0.00926440701611223,0.02527241617407646,0.02512976106419199,0.8000000867501924,0.09999998515961848,0.09999992809017048,0.8529959261803093,0.07658487830868281,0.07041919551098923,0.7470042473200755,0.12341509201055412,0.12958066066935173,0.79997014,0.10001762,0.10001224,0.85288844,0.07668588,0.07042568,0.74705184,0.12334936,0.1295988
13,5000,100,0.4054651081081644,0.01,common,-2.0218688899017336,-1.2028110335878195,500000,250000,0.00513845085351359,9.292716192353716e-4,0.00150169088580933,0.00513845085351359,0.00509082897481606,0.0999999219087681,0.09999999248813772,0.8000000856030698,0.11797640662084095,0.114071792384812,0.7679518009943159,0.08202343719669522,0.08592819259146343,0.8320483702118237,0.10011402,0.1000419,0.79984408,0.11807208,0.1141798,0.76774812,0.08215596,0.085904,0.83194004
14,5000,100,0.6931471805599453,0.01,common,-1.9090894474606124,-1.0825242355095177,500000,250000,0.00503839344489988,9.3681459391213e-4,0.00144157599949555,0.00503839344489988,0.00496452367338316,0.10000000602753424,0.09999997423884296,0.800000019733599,0.1301628086614431,0.1238927745095416,0.7459444168289854,0.069837203393625355,0.07610717396814434,0.8540556226382126,0.09997218,0.09995788,0.80006994,0.13008272,0.12387764,0.74603964,0.06986164,0.07603812,0.85410024
15,5000,100,0.4054651081081644,0.02,common,-2.0330251341903427,-1.2098394065121356,500000,250000,0.00974822969772573,0.00185348504075634,0.00296299014803118,0.00974822969772573,0.00986127447943029,0.09999991435596588,0.10000001380431542,0.8000000718396583,0.117887148184584,0.1140010569124558,0.7681117949028997,0.08211268052734777,0.08599897069617503,0.8318883487764167,0.0999595,0.099987500000000007,0.800053,0.11780076,0.11402792,0.76817132,0.08211824,0.08594708,0.83193468
16,5000,100,0.6931471805599453,0.02,common,-1.9200930639067004,-1.0894340887185665,500000,250000,0.00994698245548732,0.0019221556339004,0.0030385619442695,0.00994698245548732,0.01007600897437107,0.09999992757091448,0.10000000552912508,0.8000000668998998,0.13001850482257463,0.12377437074850636,0.7462071244288584,0.0699813503192543,0.07622564030974378,0.8537930093709412,0.09997368,0.09998114,0.80004518,0.12995596,0.12372476,0.74631928,0.0699914,0.07623752,0.85377108
17,5000,100,0.4054651081081644,0.05,common,-2.067549125977829,-1.23159059181798,500000,250000,0.02509332129102622,0.00471865750101695,0.00747158799847797,0.02509332129102622,0.02515097742429944,0.0999999250324234,0.09999999273820286,0.800000082229355,0.11761648174948522,0.11378651365085446,0.7685970045996415,0.08238336831536162,0.08621347182555125,0.8314031598590685,0.09995924,0.09998722,0.80005354,0.11756504,0.11380176,0.7686332,0.08235344,0.08617268,0.83147388
18,5000,100,0.6931471805599453,0.05,common,-1.9541518011800405,-1.11082484257754,500000,250000,0.02446496330743793,0.0047564018081213,0.00746722907179749,0.02446496330743793,0.02479841432778171,0.09999992566043726,0.09999999400628994,0.8000000803332541,0.1295806575944719,0.12341510280042468,0.7470042396050848,0.07041919372640262,0.07658488521215519,0.8529959210614234,0.09992252,0.0999494,0.80012808,0.12957756,0.12334076,0.74708168,0.07026748,0.07655804,0.85317448
19,5000,100,0.4054651081081644,0.01,bell,-2.021868429271497,2.427333136978035,500000,250000,0.00523000852019537,0.00295648778159823,-0.00205205060624172,0.00523000852019537,0.00491718431296257,0.09999996300955542,0.8000000382541075,0.09999999873631932,0.1179764543128351,0.8000000439834982,0.08202350170364898,0.08202347170627575,0.8000000325247169,0.11797649576898968,0.0999648,0.8000251,0.1000101,0.11794208,0.80007388,0.08198404,0.08198752,0.79997632,0.11803616
20,5000,100,0.6931471805599453,0.01,bell,-1.9090897753161955,2.602236955952833,500000,250000,0.00516193896906859,0.00302430660231293,-0.00200522175118085,0.00516193896906859,0.0049516011079108,0.0999999769652257,0.800000046076329,0.09999997695842748,0.1301627717275564,0.8000000460744877,0.06983718219793808,0.06983718220289499,0.8000000460781704,0.13016277171891685,0.1000186,0.79996678,0.10001462,0.13017432,0.8000102,0.06981548,0.06986288,0.79992336,0.13021376
