scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,mean_rank_icc,N,m,small_cluster
68,50,50,0.4054651081081644,0.02,0.00974822969772573,0.00185348504075634,0.00296299014803118,0.00974822969772573,0.00986127447943029,common,-2.0330251341903427,-1.2098394065121356,0.01739181767323472,2500,1250,no
69,50,50,0.4054651081081644,0.05,0.02509332129102622,0.00471865750101695,0.00747158799847797,0.02509332129102622,0.02515097742429944,common,-2.067549125977829,-1.23159059181798,0.03414358076121956,2500,1250,no
70,50,100,0.4054651081081644,0.01,0.00513845085351359,9.292716192353716e-4,0.00150169088580933,0.00513845085351359,0.00509082897481606,common,-2.0218688899017336,-1.2028110335878195,0.01291175527962738,5000,2500,no
71,50,100,0.4054651081081644,0.02,0.00974822969772573,0.00185348504075634,0.00296299014803118,0.00974822969772573,0.00986127447943029,common,-2.0330251341903427,-1.2098394065121356,0.01739181767323472,5000,2500,no
72,50,100,0.4054651081081644,0.05,0.02509332129102622,0.00471865750101695,0.00747158799847797,0.02509332129102622,0.02515097742429944,common,-2.067549125977829,-1.23159059181798,0.03414358076121956,5000,2500,no
73,50,10,0.4054651081081644,0.01,0.00505726896434369,8.008906316459745e-4,-3.543616204591332e-4,0.00505726896434369,0.00506349961186723,even,-0.5159877182027522,0.8759268660862634,0.01819477386905188,500,250,yes
74,50,10,0.6931471805599453,0.01,0.00505397920454193,8.612122487825177e-4,-4.079670375836984e-4,0.00505397920454193,0.00497354919047873,even,-0.38562618281130107,1.0324612998031433,0.04020759747483685,500,250,yes
75,50,10,0.4054651081081644,0.02,0.01001610066179986,0.0015502302287268,-7.086203321704589e-4,0.01001610066179986,0.00998090183585973,even,-0.5195744631809277,0.8792860728076928,0.02431280478011602,500,250,yes
76,50,10,0.6931471805599453,0.02,0.01027570592374058,0.00175214386979049,-7.83532139051996e-4,0.01027570592374058,0.0102137394367527,even,-0.38914353651347233,1.0357550965100768,0.046968586499244853,500,250,yes
77,50,10,0.4054651081081644,0.05,0.0256279546113436,0.00416527680807883,-0.00185415591706065,0.0256279546113436,0.02563312897917953,even,-0.5306746857734366,0.8896821348969451,0.04324235782539755,500,250,yes
78,50,10,0.6931471805599453,0.05,0.02548129671539855,0.00437402549095693,-0.00196731493227517,0.02548129671539855,0.02528233081263875,even,-0.40003354080895753,1.0459529978973945,0.06380502382918014,500,250,yes
79,100,10,0.4054651081081644,0.01,0.00505726896434369,8.008906316459745e-4,-3.543616204591332e-4,0.00505726896434369,0.00506349961186723,even,-0.5159877182027522,0.8759268660862634,0.01819477386905188,1000,500,yes
80,100,10,0.4054651081081644,0.02,0.01001610066179986,0.0015502302287268,-7.086203321704589e-4,0.01001610066179986,0.00998090183585973,even,-0.5195744631809277,0.8792860728076928,0.02431280478011602,1000,500,yes
81,100,10,0.4054651081081644,0.05,0.0256279546113436,0.00416527680807883,-0.00185415591706065,0.0256279546113436,0.02563312897917953,even,-0.5306746857734366,0.8896821348969451,0.04324235782539755,1000,500,yes
82,50,20,0.4054651081081644,0.01,0.00505726896434369,8.008906316459745e-4,-3.543616204591332e-4,0.00505726896434369,0.00506349961186723,even,-0.5159877182027522,0.8759268660862634,0.01819477386905188,1000,500,yes
83,50,20,0.6931471805599453,0.01,0.00505397920454193,8.612122487825177e-4,-4.079670375836984e-4,0.00505397920454193,0.00497354919047873,even,-0.38562618281130107,1.0324612998031433,0.04020759747483685,1000,500,yes
84,50,20,0.4054651081081644,0.02,0.01001610066179986,0.0015502302287268,-7.086203321704589e-4,0.01001610066179986,0.00998090183585973,even,-0.5195744631809277,0.8792860728076928,0.02431280478011602,1000,500,yes
85,50,20,0.6931471805599453,0.02,0.01027570592374058,0.00175214386979049,-7.83532139051996e-4,0.01027570592374058,0.0102137394367527,even,-0.38914353651347233,1.0357550965100768,0.046968586499244853,1000,500,yes
86,50,20,0.4054651081081644,0.05,0.0256279546113436,0.00416527680807883,-0.00185415591706065,0.0256279546113436,0.02563312897917953,even,-0.5306746857734366,0.8896821348969451,0.04324235782539755,1000,500,yes
87,50,20,0.6931471805599453,0.05,0.02548129671539855,0.00437402549095693,-0.00196731493227517,0.02548129671539855,0.02528233081263875,even,-0.40003354080895753,1.0459529978973945,0.06380502382918014,1000,500,yes
88,100,20,0.4054651081081644,0.01,0.00505726896434369,8.008906316459745e-4,-3.543616204591332e-4,0.00505726896434369,0.00506349961186723,even,-0.5159877182027522,0.8759268660862634,0.01819477386905188,2000,1000,yes
89,100,20,0.4054651081081644,0.02,0.01001610066179986,0.0015502302287268,-7.086203321704589e-4,0.01001610066179986,0.00998090183585973,even,-0.5195744631809277,0.8792860728076928,0.02431280478011602,2000,1000,yes
90,100,20,0.4054651081081644,0.05,0.0256279546113436,0.00416527680807883,-0.00185415591706065,0.0256279546113436,0.02563312897917953,even,-0.5306746857734366,0.8896821348969451,0.04324235782539755,2000,1000,yes
91,50,50,0.4054651081081644,0.01,0.00505726896434369,8.008906316459745e-4,-3.543616204591332e-4,0.00505726896434369,0.00506349961186723,even,-0.5159877182027522,0.8759268660862634,0.01819477386905188,2500,1250,no
92,50,50,0.4054651081081644,0.02,0.01001610066179986,0.0015502302287268,-7.086203321704589e-4,0.01001610066179986,0.00998090183585973,even,-0.5195744631809277,0.8792860728076928,0.02431280478011602,2500,1250,no
93,50,50,0.4054651081081644,0.05,0.0256279546113436,0.00416527680807883,-0.00185415591706065,0.0256279546113436,0.02563312897917953,even,-0.5306746857734366,0.8896821348969451,0.04324235782539755,2500,1250,no
94,50,100,0.4054651081081644,0.01,0.00505726896434369,8.008906316459745e-4,-3.543616204591332e-4,0.00505726896434369,0.00506349961186723,even,-0.5159877182027522,0.8759268660862634,0.01819477386905188,5000,2500,no
95,50,100,0.4054651081081644,0.02,0.01001610066179986,0.0015502302287268,-7.086203321704589e-4,0.01001610066179986,0.00998090183585973,even,-0.5195744631809277,0.8792860728076928,0.02431280478011602,5000,2500,no
