scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,mean_rank_icc,N,m,small_cluster
127,100,10,0.4054651081081644,0.01,0.00508371704778939,8.826749215227212e-4,-0.00173924843800858,0.00508371704778939,0.0052789133308041,rare,1.608276141789996,2.427333997914866,0.01159767624879359,1000,500,yes
128,100,10,0.4054651081081644,0.02,0.00987392432095258,0.00188097720779652,-0.00366566301972835,0.00987392432095258,0.00967524718107283,rare,1.615304596736779,2.438490148376623,0.01581039795142795,1000,500,yes
129,100,10,0.4054651081081644,0.05,0.02487256836769159,0.00473798723333289,-0.00916287818264555,0.02487256836769159,0.02453248263003491,rare,1.6370556994825434,2.4730142342229033,0.03232473792927812,1000,500,yes
130,50,20,0.4054651081081644,0.01,0.00508371704778939,8.826749215227212e-4,-0.00173924843800858,0.00508371704778939,0.0052789133308041,rare,1.608276141789996,2.427333997914866,0.01159767624879359,1000,500,yes
131,50,20,0.6931471805599453,0.01,0.00481042870703862,9.232291251322792e-4,-0.00176322126783375,0.00481042870703862,0.00478911770083141,rare,1.7756718281037704,2.60223755094944,0.02354966859122223,1000,500,yes
132,50,20,0.4054651081081644,0.02,0.00987392432095258,0.00188097720779652,-0.00366566301972835,0.00987392432095258,0.00967524718107283,rare,1.615304596736779,2.438490148376623,0.01581039795142795,1000,500,yes
133,50,20,0.6931471805599453,0.02,0.01018304690860213,0.00186541251377956,-0.00359176304786097,0.01018304690860213,0.01043385994020345,rare,1.782581379230855,2.613240272763193,0.02914346428498794,1000,500,yes
134,50,20,0.4054651081081644,0.05,0.02487256836769159,0.00473798723333289,-0.00916287818264555,0.02487256836769159,0.02453248263003491,rare,1.6370556994825434,2.4730142342229033,0.03232473792927812,1000,500,yes
135,50,20,0.6931471805599453,0.05,0.02527241617407646,0.00481486153952798,-0.00926440701611223,0.02527241617407646,0.02512976106419199,rare,1.803972065020439,2.6472989537696536,0.04459610508656345,1000,500,yes
136,100,20,0.4054651081081644,0.01,0.00508371704778939,8.826749215227212e-4,-0.00173924843800858,0.00508371704778939,0.0052789133308041,rare,1.608276141789996,2.427333997914866,0.01159767624879359,2000,1000,yes
137,100,20,0.4054651081081644,0.02,0.00987392432095258,0.00188097720779652,-0.00366566301972835,0.00987392432095258,0.00967524718107283,rare,1.615304596736779,2.438490148376623,0.01581039795142795,2000,1000,yes
138,100,20,0.4054651081081644,0.05,0.02487256836769159,0.00473798723333289,-0.00916287818264555,0.02487256836769159,0.02453248263003491,rare,1.6370556994825434,2.4730142342229033,0.03232473792927812,2000,1000,yes
139,50,50,0.4054651081081644,0.01,0.00508371704778939,8.826749215227212e-4,-0.00173924843800858,0.00508371704778939,0.0052789133308041,rare,1.608276141789996,2.427333997914866,0.01159767624879359,2500,1250,no
140,50,50,0.4054651081081644,0.02,0.00987392432095258,0.00188097720779652,-0.00366566301972835,0.00987392432095258,0.00967524718107283,rare,1.615304596736779,2.438490148376623,0.01581039795142795,2500,1250,no
141,50,50,0.4054651081081644,0.05,0.02487256836769159,0.00473798723333289,-0.00916287818264555,0.02487256836769159,0.02453248263003491,rare,1.6370556994825434,2.4730142342229033,0.03232473792927812,2500,1250,no
142,50,100,0.4054651081081644,0.01,0.00508371704778939,8.826749215227212e-4,-0.00173924843800858,0.00508371704778939,0.0052789133308041,rare,1.608276141789996,2.427333997914866,0.01159767624879359,5000,2500,no
143,50,100,0.4054651081081644,0.02,0.00987392432095258,0.00188097720779652,-0.00366566301972835,0.00987392432095258,0.00967524718107283,rare,1.615304596736779,2.438490148376623,0.01581039795142795,5000,2500,no
144,50,100,0.4054651081081644,0.05,0.02487256836769159,0.00473798723333289,-0.00916287818264555,0.02487256836769159,0.02453248263003491,rare,1.6370556994825434,2.4730142342229033,0.03232473792927812,5000,2500,no
