scena,mean_est_beta_treat,mean_var_beta_treat,mean_sandwich_var_beta_treat,n_success,n_tried,n_bad,fail_rate,count_iter,mean_est_rho_1_1,mean_est_rho_1_2,mean_est_rho_2_2,mean_est_rho_1_3,mean_est_rho_2_3,mean_est_rho_3_3,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho12,rho22,bin_rho0,bin_rho01,mean_rank_icc,ordinal_dist_type,N,m,gamma0,gamma1,gamma2,small_cluster,WH_DE_latent_icc,WH_DE_rank_icc,WH,GEE_bin1,GEE_bin2,GEE_exch,GEE_indep,Empirical,Empirical_noadj_model_based,Empirical_noadj_sandwich,Empirical_adj_model_based_K_ncat,Empirical_adj_sandwich_K_ncat,marginal_lor_by_bridge,theta_R_bin,theta_R_bin2
11,-0.4020006050837186,0.00422668152425176,0.00422292058803554,10000,10000,0,0,2.4385,0.00948905475235488,2.754826544548478e-4,2.2308108193903767e-4,-5.630789990162009e-4,3.706988488582984e-4,1.948943041638542e-4,50,100,0.4054651081081644,0.02,0.00986288422540057,-3.403008771899945e-4,8.170806810123305e-4,0.00986288422540057,0.00982474045659102,0.02311673172045924,U-shape,5000,2500,-0.2109299364249117,0.20273252727767532,0.6163950027327021,no,0.9997221650719252,0.9994680710652972,0.9999999921782611,0.9998989454655933,0.9999003670388911,0.9999777536290265,0.9999999904752408,0.9997,0.9997,0.9997,0.9997,0.9997,0.40138997846894753,0.4013899784689354,0.40138997846891117
12,-0.3972860177474799,0.0065869150317264,0.00657519510025261,10000,10000,0,0,2.5915,0.02452426891605975,5.545665103383287e-4,8.821806448972204e-4,-0.00165488246460873,9.594535582276972e-4,8.762310240226267e-4,50,100,0.4054651081081644,0.05,0.02526018130775966,-8.616981021086435e-4,0.00217466434454956,0.02526018130775966,0.02525762953123137,0.04026825468323852,U-shape,5000,2500,-0.21728347088655856,0.20273249113471445,0.6227484811751647,no,0.9811001307860728,0.9918871851769238,0.9999999846064849,0.9952142447769167,0.9952160132693937,0.9973590012572117,0.9999999814949714,0.9951,0.995,0.9951,0.9941,0.9941,0.39519850227260117,0.3951985022726059,0.39519850227259
13,-0.39526784301930584,0.02141558088589054,0.02241842298498287,10000,10324,324,0.03138318481208833,25.22508758271701,0.00110529745195109,0.00142062015988648,-7.814806408496669e-4,-0.00124764418843876,9.15015783731599e-4,-7.314138331282534e-4,50,10,0.4054651081081644,0.01,0.00500303154299657,0.00115371221286086,0.00196366136735086,0.00500303154299657,0.00502359009540198,0.01707238240442779,bell,500,250,-2.0218684352947047,0.20273259646872627,2.4273336849138403,yes,0.48408489905929364,0.4334455422634829,0.6476894893803617,0.22208926445639604,0.519969160994652,0.5331201273588266,0.6444327430309149,0.4388,0.7239,0.7205,0.4514,0.4388,0.40343268875270105,0.40343268875270955,0.40343268875269633
14,-0.40332235127483707,0.02560296286932171,0.02703381196959113,10000,10312,312,0.03025601241272304,24.03484626647145,0.00558343821213628,0.00219825511304706,0.00130425502605365,-0.00369884733651979,6.441349962055021e-5,0.00121671196523209,50,10,0.4054651081081644,0.02,0.01011203855086086,0.00215808851456012,0.00389257808533562,0.01011203855086086,0.00990386743838306,0.02277824832352722,bell,500,250,-2.03302431246567,0.2027326357546678,2.438489820941849,yes,0.38102889550082414,0.3825994735251097,0.6432824762752958,0.190761107628619,0.449051316875211,0.45351076869005674,0.6400782975795658,0.4099,0.6925,0.69,0.4249,0.4099,0.40138997846894753,0.40138997846896274,0.40138997846892693
15,-0.4043362833588727,0.03865840117606349,0.04026509509624743,10000,10270,270,0.02629016553067186,20.433928922049873,0.01666517006060438,0.00550871515620396,0.00652848163613072,-0.01036084202153967,-0.0024085674476926,0.00650408271352524,50,10,0.4054651081081644,0.05,0.02512874994011783,0.0055311098869347,0.01012984049784537,0.02512874994011783,0.02525566081947008,0.04201043156359595,bell,500,250,-2.067548456966534,0.202732628745128,2.473013951513486,yes,0.23456503103073117,0.27444816317595544,0.6298096385600077,0.13893520381082258,0.31198697915230733,0.31111454634775537,0.6267658596976518,0.3101,0.5958,0.5904,0.3288,0.3101,0.39519850227260117,0.3951985022726414,0.3951985022726028
16,-0.4091659421288769,0.01405624172779833,0.01422918390303811,10000,10006,6,5.996402158704777e-4,4.363718140929535,0.00299385686062141,9.945894508027072e-4,6.710944795115667e-4,-0.00185184285255086,-3.663242485563165e-5,6.35476612942882e-4,50,20,0.4054651081081644,0.01,0.00500303154299657,0.00115371221286086,0.00196366136735086,0.00500303154299657,0.00502359009540198,0.01707238240442779,bell,1000,500,-2.0218684352947047,0.20273259646872627,2.4273336849138403,yes,0.7749988306615713,0.7172897915206233,0.911694323388689,0.3934837212329191,0.8112905628963564,0.8236556289223975,0.909155621637835,0.8222,0.8905,0.8902,0.8217,0.8222,0.40343268875270105,0.40343268875270955,0.40343268875269633
17,-0.4055860674615532,0.01694239574703384,0.01709889935091764,10000,10005,5,4.997501249375312e-4,4.630684657671164,0.00767978756007797,0.00200440419732441,0.00218359043185055,-0.00456628307386244,-7.272627328107806e-4,0.00249143596633612,50,20,0.4054651081081644,0.02,0.01011203855086086,0.00215808851456012,0.00389257808533562,0.01011203855086086,0.00990386743838306,0.02277824832352722,bell,1000,500,-2.03302431246567,0.2027326357546678,2.438489820941849,yes,0.6493805332250187,0.6515371017560116,0.9089794423310117,0.33515318912738334,0.7358952262025773,0.7410768602402398,0.9064283037541375,0.7528,0.8388,0.841,0.7498,0.7528,0.40138997846894753,0.40138997846896274,0.40138997846892693
18,-0.4044111538089544,0.02587273929326317,0.02600864789329358,10000,10005,5,4.997501249375312e-4,4.798460461861442,0.01975746049103477,0.00520221387278615,0.00808795644548256,-0.01171494238973122,-0.0035243979513429,0.00810664142005136,50,20,0.4054651081081644,0.05,0.02512874994011783,0.0055311098869347,0.01012984049784537,0.02512874994011783,0.02525566081947008,0.04201043156359595,bell,1000,500,-2.067548456966534,0.202732628745128,2.473013951513486,yes,0.4160930012191015,0.48569825485929047,0.9003729194050698,0.23491929625805882,0.5471877655093341,0.5458050529351971,0.8977898973405968,0.5879,0.7022,0.7024,0.5872,0.5879,0.39519850227260117,0.3951985022726414,0.3951985022726028
19,-0.40561917704926626,0.006595811826716,0.00659052059867853,10000,10000,0,0,2.9264,0.0040474958798322,0.00116796407146004,0.00135730805523045,-0.00237385354127736,-5.241710136254825e-4,0.001369578123157,50,50,0.4054651081081644,0.01,0.00500303154299657,0.00115371221286086,0.00196366136735086,0.00500303154299657,0.00502359009540198,0.01707238240442779,bell,2500,1250,-2.0218684352947047,0.20273259646872627,2.4273336849138403,no,0.9901869710556508,0.9797133438810256,0.9994785398589459,0.7616770105027396,0.9943715714805683,0.9954530060903731,0.9994244708114621,0.9954,0.9953,0.9954,0.993,0.9932,0.40343268875270105,0.40343268875270955,0.40343268875269633
20,-0.40374344444297927,0.0080388467806314,0.00801980600575769,10000,10000,0,0,3.047,0.00870656301432168,0.00226046982121156,0.00327138931904752,-0.00500437067618109,-0.00149643238125324,0.00336133763963691,50,50,0.4054651081081644,0.02,0.01011203855086086,0.00215808851456012,0.00389257808533562,0.01011203855086086,0.00990386743838306,0.02277824832352722,bell,2500,1250,-2.03302431246567,0.2027326357546678,2.438489820941849,no,0.9595608746270863,0.960355213960906,0.9994273422247646,0.6793481568176375,0.9836725596567247,0.9846710306277,0.9993693770711254,0.9845,0.9842,0.9845,0.979,0.9799,0.40138997846894753,0.40138997846896274,0.40138997846892693
21,-0.4022064277519322,0.01225549780985459,0.01220824741890012,10000,10000,0,0,3.419,0.02273963467163759,0.00531740617099917,0.00918377885756205,-0.01273453667992713,-0.00436359831608655,0.00927017869592866,50,50,0.4054651081081644,0.05,0.02512874994011783,0.0055311098869347,0.01012984049784537,0.02512874994011783,0.02525566081947008,0.04201043156359595,bell,2500,1250,-2.067548456966534,0.202732628745128,2.473013951513486,no,0.7892927882444681,0.8604440490827524,0.9992424155588332,0.4985064491980649,0.9076579630110064,0.9067413672728247,0.9991711790662321,0.9348,0.9341,0.9348,0.9169,0.9182,0.39519850227260117,0.3951985022726414,0.3951985022726028
22,-0.4038430363179332,0.00348691549832473,0.003476718135684,10000,10000,0,0,2.524,0.00451885283854921,0.00109496209951996,0.00171231714621628,-0.00250559699485265,-7.945309950406692e-4,0.00172398469928047,50,100,0.4054651081081644,0.01,0.00500303154299657,0.00115371221286086,0.00196366136735086,0.00500303154299657,0.00502359009540198,0.01707238240442779,bell,5000,2500,-2.0218684352947047,0.20273259646872627,2.4273336849138403,no,0.9999803706287579,0.9998955325559524,0.9999999748272215,0.9654946673279273,0.9999944954566685,0.9999966154165929,0.9999999683256147,1,1,1,1,1,0.40343268875270105,0.40343268875270955,0.40343268875269633
23,-0.4024190205102727,0.00424560297789598,0.00422659398671174,10000,10000,0,0,2.6713,0.00901693051931809,0.00224013533641548,0.00353419338346622,-0.00504082667665239,-0.00167675380229643,0.00351718551852911,50,100,0.4054651081081644,0.02,0.01011203855086086,0.00215808851456012,0.00389257808533562,0.01011203855086086,0.00990386743838306,0.02277824832352722,bell,5000,2500,-2.03302431246567,0.2027326357546678,2.438489820941849,no,0.999481907566787,0.999505325661706,0.9999999689360751,0.9293129141169809,0.9999367126492439,0.9999452789093417,0.9999999611079118,0.9999,0.9999,0.9999,0.9998,0.9998,0.40138997846894753,0.40138997846896274,0.40138997846892693
24,-0.3982667179690027,0.00656953797994593,0.00654199044538021,10000,10000,0,0,3.0364,0.02367278058054161,0.00542731522099262,0.00965638590988324,-0.0130473262981515,-0.00468921031164,0.00967747480328733,50,100,0.4054651081081644,0.05,0.02512874994011783,0.0055311098869347,0.01012984049784537,0.02512874994011783,0.02525566081947008,0.04201043156359595,bell,5000,2500,-2.067548456966534,0.202732628745128,2.473013951513486,no,0.9743420539741259,0.9904217228805102,0.99999994173103,0.7900368604931722,0.996403297595423,0.9963183678347266,0.9999999281091784,0.9959,0.9959,0.9959,0.995,0.9951,0.39519850227260117,0.3951985022726414,0.3951985022726028
