scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho12,rho22,ordinal_dist_type,N,m,gamma0,gamma1,gamma2,small_cluster.x,small_cluster.y,Empirical,Empirical_noadj_model_based,Empirical_noadj_sandwich,Empirical_adj_model_based_K_ncat,Empirical_adj_sandwich_K_ncat,mean_est_beta_treat,mean_var_beta_treat,mean_sandwich_var_beta_treat,n_success,n_tried,n_bad,fail_rate,count_iter,mean_est_rho_1_1,mean_est_rho_1_2,mean_est_rho_2_2,mean_est_rho_1_3,mean_est_rho_2_3,mean_est_rho_3_3
12,50,100,0.4054651081081644,0.05,0.02526018130775966,-8.616981021086435e-4,0.00217466434454956,U-shape,5000,2500,-0.21728347088655856,0.20273249113471445,0.6227484811751647,no,no,0.9951,0.995,0.9951,0.9941,0.9941,-0.3972860177474799,0.0065869150317264,0.00657519510025261,10000,10000,0,0,2.5915,0.02452426891605975,5.545665103383287e-4,8.821806448972204e-4,-0.00165488246460873,9.594535582276972e-4,8.762310240226267e-4
13,50,10,0.4054651081081644,0.01,0.00500303154299657,0.00115371221286086,0.00196366136735086,bell,500,250,-2.0218684352947047,0.20273259646872627,2.4273336849138403,yes,yes,0.4388,0.7239,0.7205,0.4514,0.4388,-0.39526784301930584,0.02141558088589054,0.02241842298498287,10000,10324,324,0.03138318481208833,25.22508758271701,0.00110529745195109,0.00142062015988648,-7.814806408496669e-4,-0.00124764418843876,9.15015783731599e-4,-7.314138331282534e-4
14,50,10,0.4054651081081644,0.02,0.01011203855086086,0.00215808851456012,0.00389257808533562,bell,500,250,-2.03302431246567,0.2027326357546678,2.438489820941849,yes,yes,0.4099,0.6925,0.69,0.4249,0.4099,-0.40332235127483707,0.02560296286932171,0.02703381196959113,10000,10312,312,0.03025601241272304,24.03484626647145,0.00558343821213628,0.00219825511304706,0.00130425502605365,-0.00369884733651979,6.441349962055021e-5,0.00121671196523209
15,50,10,0.4054651081081644,0.05,0.02512874994011783,0.0055311098869347,0.01012984049784537,bell,500,250,-2.067548456966534,0.202732628745128,2.473013951513486,yes,yes,0.3101,0.5958,0.5904,0.3288,0.3101,-0.4043362833588727,0.03865840117606349,0.04026509509624743,10000,10270,270,0.02629016553067186,20.433928922049873,0.01666517006060438,0.00550871515620396,0.00652848163613072,-0.01036084202153967,-0.0024085674476926,0.00650408271352524
16,50,20,0.4054651081081644,0.01,0.00500303154299657,0.00115371221286086,0.00196366136735086,bell,1000,500,-2.0218684352947047,0.20273259646872627,2.4273336849138403,yes,yes,0.8222,0.8905,0.8902,0.8217,0.8222,-0.4091659421288769,0.01405624172779833,0.01422918390303811,10000,10006,6,5.996402158704777e-4,4.363718140929535,0.00299385686062141,9.945894508027072e-4,6.710944795115667e-4,-0.00185184285255086,-3.663242485563165e-5,6.35476612942882e-4
17,50,20,0.4054651081081644,0.02,0.01011203855086086,0.00215808851456012,0.00389257808533562,bell,1000,500,-2.03302431246567,0.2027326357546678,2.438489820941849,yes,yes,0.7528,0.8388,0.841,0.7498,0.7528,-0.4055860674615532,0.01694239574703384,0.01709889935091764,10000,10005,5,4.997501249375312e-4,4.630684657671164,0.00767978756007797,0.00200440419732441,0.00218359043185055,-0.00456628307386244,-7.272627328107806e-4,0.00249143596633612
18,50,20,0.4054651081081644,0.05,0.02512874994011783,0.0055311098869347,0.01012984049784537,bell,1000,500,-2.067548456966534,0.202732628745128,2.473013951513486,yes,yes,0.5879,0.7022,0.7024,0.5872,0.5879,-0.4044111538089544,0.02587273929326317,0.02600864789329358,10000,10005,5,4.997501249375312e-4,4.798460461861442,0.01975746049103477,0.00520221387278615,0.00808795644548256,-0.01171494238973122,-0.0035243979513429,0.00810664142005136
19,50,50,0.4054651081081644,0.01,0.00500303154299657,0.00115371221286086,0.00196366136735086,bell,2500,1250,-2.0218684352947047,0.20273259646872627,2.4273336849138403,no,no,0.9954,0.9953,0.9954,0.993,0.9932,-0.40561917704926626,0.006595811826716,0.00659052059867853,10000,10000,0,0,2.9264,0.0040474958798322,0.00116796407146004,0.00135730805523045,-0.00237385354127736,-5.241710136254825e-4,0.001369578123157
20,50,50,0.4054651081081644,0.02,0.01011203855086086,0.00215808851456012,0.00389257808533562,bell,2500,1250,-2.03302431246567,0.2027326357546678,2.438489820941849,no,no,0.9845,0.9842,0.9845,0.979,0.9799,-0.40374344444297927,0.0080388467806314,0.00801980600575769,10000,10000,0,0,3.047,0.00870656301432168,0.00226046982121156,0.00327138931904752,-0.00500437067618109,-0.00149643238125324,0.00336133763963691
21,50,50,0.4054651081081644,0.05,0.02512874994011783,0.0055311098869347,0.01012984049784537,bell,2500,1250,-2.067548456966534,0.202732628745128,2.473013951513486,no,no,0.9348,0.9341,0.9348,0.9169,0.9182,-0.4022064277519322,0.01225549780985459,0.01220824741890012,10000,10000,0,0,3.419,0.02273963467163759,0.00531740617099917,0.00918377885756205,-0.01273453667992713,-0.00436359831608655,0.00927017869592866
