scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho12,rho22,bin_rho0,bin_rho01,mean_rank_icc,ordinal_dist_type,N,m,gamma0,gamma1,gamma2,small_cluster
52,50,20,0.4054651081081644,0.01,0.005054821922011,4.7723072236650194e-4,7.138211856116247e-4,0.005054821922011,0.00504060189606158,0.01711377124834828,even,1000,500,-0.911646705010349,0.2027325451854841,1.317111793888632,yes
53,50,20,0.4054651081081644,0.02,0.01004023760769139,9.790610550575506e-4,0.00140598895527455,0.01004023760769139,0.0100344362786641,0.0228874851150259,even,1000,500,-0.9172139192349448,0.2027325416295258,1.3226790007905478,yes
54,50,20,0.4054651081081644,0.05,0.02532526695822606,0.00238433892037487,0.00366541323440195,0.02532526695822606,0.02530163376801608,0.04098079431271701,even,1000,500,-0.9344430726917672,0.2027325299515743,1.339908132540895,yes
55,50,50,0.4054651081081644,0.01,0.005054821922011,4.7723072236650194e-4,7.138211856116247e-4,0.005054821922011,0.00504060189606158,0.01711377124834828,even,2500,1250,-0.911646705010349,0.2027325451854841,1.317111793888632,no
56,50,50,0.4054651081081644,0.02,0.01004023760769139,9.790610550575506e-4,0.00140598895527455,0.01004023760769139,0.0100344362786641,0.0228874851150259,even,2500,1250,-0.9172139192349448,0.2027325416295258,1.3226790007905478,no
57,50,50,0.4054651081081644,0.05,0.02532526695822606,0.00238433892037487,0.00366541323440195,0.02532526695822606,0.02530163376801608,0.04098079431271701,even,2500,1250,-0.9344430726917672,0.2027325299515743,1.339908132540895,no
58,50,100,0.4054651081081644,0.01,0.005054821922011,4.7723072236650194e-4,7.138211856116247e-4,0.005054821922011,0.00504060189606158,0.01711377124834828,even,5000,2500,-0.911646705010349,0.2027325451854841,1.317111793888632,no
59,50,100,0.4054651081081644,0.02,0.01004023760769139,9.790610550575506e-4,0.00140598895527455,0.01004023760769139,0.0100344362786641,0.0228874851150259,even,5000,2500,-0.9172139192349448,0.2027325416295258,1.3226790007905478,no
60,50,100,0.4054651081081644,0.05,0.02532526695822606,0.00238433892037487,0.00366541323440195,0.02532526695822606,0.02530163376801608,0.04098079431271701,even,5000,2500,-0.9344430726917672,0.2027325299515743,1.339908132540895,no
61,50,10,0.4054651081081644,0.01,0.00512240352815277,-0.00130873409432636,7.604052634917283e-4,0.00512240352815277,0.00523653748807188,0.01616411510908873,rare,500,250,0.6143421759537722,1.6082760389321409,2.4273332801459513,yes
62,50,10,0.4054651081081644,0.02,0.01018057904555025,-0.00268596493616035,0.00155385938618122,0.01018057904555025,0.01024784850436618,0.02165577789758892,rare,500,250,0.6163950682600314,1.615304386449409,2.4384892349566445,yes
63,50,10,0.4054651081081644,0.05,0.02531482939743231,-0.00684080741734957,0.00394013380311282,0.02531482939743231,0.02511403145714221,0.03842342796127971,rare,500,250,0.622748834876065,1.6370561185964014,2.473014612461182,yes
64,50,20,0.4054651081081644,0.01,0.00512240352815277,-0.00130873409432636,7.604052634917283e-4,0.00512240352815277,0.00523653748807188,0.01616411510908873,rare,1000,500,0.6143421759537722,1.6082760389321409,2.4273332801459513,yes
65,50,20,0.4054651081081644,0.02,0.01018057904555025,-0.00268596493616035,0.00155385938618122,0.01018057904555025,0.01024784850436618,0.02165577789758892,rare,1000,500,0.6163950682600314,1.615304386449409,2.4384892349566445,yes
66,50,20,0.4054651081081644,0.05,0.02531482939743231,-0.00684080741734957,0.00394013380311282,0.02531482939743231,0.02511403145714221,0.03842342796127971,rare,1000,500,0.622748834876065,1.6370561185964014,2.473014612461182,yes
