scena,number_clusters,cluster_sizes,beta_X_list,latent_ICC,ordinal_dist_type,ordinal_dist_label,gamma0,gamma1,target_pi0,target_pi1,target_pi2,OR,phi,marginal_log_OR,N,m,pi_0_C,pi_1_C,pi_2_C,pi_0_T,pi_1_T,pi_2_T,pi_0,pi_1,pi_2
23,5000,100,0.6931471805599453,0.01,high01low2,Rare-top,-0.094,3.32,0.45,0.45,0.1,2,0.99498743710662,0.6896727367230195,500000,250000,0.47663482525669765,0.48790901508624523,0.035456159657039396,0.31363028801502124,0.6181068939258223,0.06826281805913874,0.39513255663585944,0.5530079545060338,0.05185948885808907
24,5000,100,0.6931471805599453,0.01,even,Even,-0.8,0.6,0.33,0.33,0.34,2,0.99498743710662,0.6896727367230195,500000,250000,0.31088396033479404,0.3340839676175869,0.3550320720475914,0.1845736271327129,0.29227287521815837,0.5231534976490981,0.24772879373375345,0.31317842141787267,0.4390927848483448
25,5000,100,0.6931471805599453,0.02,bell,Bell,-2.9,3.32,0.1,0.8,0.1,2,0.9899494936611666,0.6861807004279831,500000,250000,0.053613328214322735,0.9103540345014189,0.03603263728419791,0.027732277004944468,0.9031583623968498,0.0691093605981453,0.0406728026096336,0.9067561984491344,0.05257099894117161
26,5000,100,0.6931471805599453,0.02,common,Common,-2,-1.1,0.1,0.1,0.8,2,0.9899494936611666,0.6861807004279831,500000,250000,0.12132960631339666,0.13048749244858202,0.7481829012379608,0.06500483613397284,0.07990128834701285,0.8550938755189534,0.09316722122368476,0.10519439039779743,0.8016383883784571
27,5000,100,0.6931471805599453,0.02,rare,Rare,1.3,2.3,0.8,0.1,0.1,2,0.9899494936611666,0.6861807004279831,500000,250000,0.7836278427193905,0.12331654480270975,0.09305561247783926,0.6458287085521556,0.18488629768406367,0.16928499376369824,0.714728275635773,0.15410142124338672,0.13117030312076874
28,5000,100,0.6931471805599453,0.02,U-shape,U-shape,-0.094,0.5,0.45,0.1,0.45,2,0.9899494936611666,0.6861807004279831,500000,250000,0.47675295969767295,0.14452469364960813,0.37872234665265025,0.31448457907619753,0.13785903612561476,0.5476563847981183,0.39561876938693524,0.14119186488761143,0.46318936572538427
29,5000,100,0.6931471805599453,0.02,high01low2,Rare-top,-0.094,3.32,0.45,0.45,0.1,2,0.9899494936611666,0.6861807004279831,500000,250000,0.47675295969767295,0.4872144030180686,0.03603263728419791,0.31448457907619753,0.6164060603255967,0.0691093605981453,0.39561876938693524,0.5518102316718327,0.05257099894117161
30,5000,100,0.6931471805599453,0.02,even,Even,-0.8,0.6,0.33,0.33,0.34,2,0.9899494936611666,0.6861807004279831,500000,250000,0.311748061336108,0.3325273977292007,0.3557245409346107,0.1857084810346925,0.29125508857445503,0.523036430390792,0.24872827118540025,0.31189124315182787,0.4393804856627013
31,5000,100,0.6931471805599453,0.05,bell,Bell,-2.9,3.32,0.1,0.8,0.1,2,0.9746794344808963,0.6755963019601953,500000,250000,0.05590513802317897,0.906259292949151,0.03783556902765143,0.029250645497051524,0.8990144172098813,0.07173493729304856,0.04257789176011525,0.9026368550795161,0.05478525316034999
32,5000,100,0.6931471805599453,0.05,common,Common,-2,-1.1,0.1,0.1,0.8,2,0.9746794344808963,0.6755963019601953,500000,250000,0.12462328382930501,0.13037164297700288,0.7450050731936734,0.06754951471508777,0.08078249727905686,0.8516679880058369,0.0960863992721964,0.10557707012802986,0.7983365305997552
33,5000,100,0.6931471805599453,0.05,rare,Rare,1.3,2.3,0.8,0.1,0.1,2,0.9746794344808963,0.6755963019601953,500000,250000,0.780243042117676,0.1236945881140898,0.09606236976821554,0.6437062512434678,0.18353015972160003,0.17276358903491362,0.7119746466805719,0.1536123739178449,0.13441297940156458
34,5000,100,0.6931471805599453,0.05,U-shape,U-shape,-0.094,0.5,0.45,0.1,0.45,2,0.9746794344808963,0.6755963019601953,500000,250000,0.47711104225753936,0.14236849551735745,0.3805204622250846,0.31708161228152315,0.13599274891781238,0.5469256388006459,0.39709632726953126,0.13918062221758493,0.4637230505128653
35,5000,100,0.6931471805599453,0.05,high01low2,Rare-top,-0.094,3.32,0.45,0.45,0.1,2,0.9746794344808963,0.6755963019601953,500000,250000,0.47711104225753936,0.4850533887147907,0.03783556902765143,0.31708161228152315,0.6111834504254098,0.07173493729304856,0.39709632726953126,0.5481184195701002,0.05478525316034999
36,5000,100,0.6931471805599453,0.05,even,Even,-0.8,0.6,0.33,0.33,0.34,2,0.9746794344808963,0.6755963019601953,500000,250000,0.3143751600605222,0.3277977370577533,0.357827102881706,0.1891811180596742,0.28813729904107976,0.5226815828992274,0.25177813906009816,0.3079675180494165,0.4402543428904667
